
Aktive Verbindungen

  Proto  Lokale Adresse         Remoteadresse          Status           PID
  UDP    0.0.0.0:49666          127.0.0.1:49665                        9008
  UDP    0.0.0.0:50080          *:*                                    29308
  UDP    0.0.0.0:50313          127.0.0.1:50312                        9008
  UDP    0.0.0.0:50580          *:*                                    3132
  UDP    0.0.0.0:51263          127.0.0.1:51262                        9008
  UDP    0.0.0.0:51265          127.0.0.1:51264                        9008
  UDP    0.0.0.0:51267          127.0.0.1:51266                        9008
  UDP    0.0.0.0:51703          *:*                                    3132
  UDP    0.0.0.0:51936          *:*                                    6696
  UDP    0.0.0.0:51937          *:*                                    6696
  UDP    0.0.0.0:53118          *:*                                    24480
  UDP    0.0.0.0:53119          *:*                                    24480
  UDP    0.0.0.0:54847          127.0.0.1:54846                        9008
  UDP    0.0.0.0:54849          127.0.0.1:54848                        9008
  UDP    0.0.0.0:55758          127.0.0.1:55757                        9008
  UDP    0.0.0.0:55910          127.0.0.1:55909                        9008
  UDP    0.0.0.0:56595          *:*                                    29308
  UDP    0.0.0.0:57713          127.0.0.1:57712                        9008
  UDP    0.0.0.0:57942          *:*                                    6396
  UDP    0.0.0.0:59870          *:*                                    23720
  UDP    0.0.0.0:59871          *:*                                    23720
  UDP    0.0.0.0:61717          *:*                                    6984
  UDP    0.0.0.0:63453          127.0.0.1:63452                        9008
  UDP    0.0.0.0:63455          127.0.0.1:63454                        9008
  UDP    0.0.0.0:63457          127.0.0.1:63456                        9008
  UDP    0.0.0.0:63459          127.0.0.1:63458                        9008
  UDP    0.0.0.0:63461          127.0.0.1:63460                        9008
  UDP    0.0.0.0:63995          127.0.0.1:63994                        9008
  UDP    0.0.0.0:63997          127.0.0.1:63996                        9008
  UDP    0.0.0.0:63999          127.0.0.1:63998                        9008
  UDP    0.0.0.0:64001          127.0.0.1:64000                        9008
  UDP    0.0.0.0:64003          127.0.0.1:64002                        9008
  UDP    10.49.213.105:137      *:*                                    4
  UDP    10.49.213.105:138      *:*                                    4
  UDP    10.49.213.105:1900     *:*                                    11748
  UDP    10.49.213.105:2177     *:*                                    18464
  UDP    10.49.213.105:5353     *:*                                    6396
  UDP    10.49.213.105:58341    *:*                                    11748
  UDP    10.49.213.227:5353     *:*                                    6984
  UDP    127.0.0.1:1900         *:*                                    11748
  UDP    127.0.0.1:49665        *:*                                    9008
  UDP    127.0.0.1:50174        127.0.0.1:50174                        3140
  UDP    127.0.0.1:50312        *:*                                    9008
  UDP    127.0.0.1:51262        *:*                                    9008
  UDP    127.0.0.1:51264        *:*                                    9008
  UDP    127.0.0.1:51266        *:*                                    9008
  UDP    127.0.0.1:54188        127.0.0.1:54188                        6436
  UDP    127.0.0.1:54846        *:*                                    9008
  UDP    127.0.0.1:54848        *:*                                    9008
  UDP    127.0.0.1:55197        127.0.0.1:55197                        18200
  UDP    127.0.0.1:55204        127.0.0.1:55204                        17192
  UDP    127.0.0.1:55757        *:*                                    9008
  UDP    127.0.0.1:55909        *:*                                    9008
  UDP    127.0.0.1:57712        *:*                                    9008
  UDP    127.0.0.1:58342        *:*                                    11748
  UDP    127.0.0.1:59182        127.0.0.1:59182                        35276
  UDP    127.0.0.1:59629        127.0.0.1:59629                        29968
  UDP    127.0.0.1:59641        127.0.0.1:59641                        14952
  UDP    127.0.0.1:60041        127.0.0.1:60041                        29948
  UDP    127.0.0.1:60609        127.0.0.1:60609                        1912
  UDP    127.0.0.1:63165        127.0.0.1:63166                        23436
  UDP    127.0.0.1:63166        127.0.0.1:63165                        23436
  UDP    127.0.0.1:63452        *:*                                    9008
  UDP    127.0.0.1:63454        *:*                                    9008
  UDP    127.0.0.1:63456        *:*                                    9008
  UDP    127.0.0.1:63458        *:*                                    9008
  UDP    127.0.0.1:63460        *:*                                    9008
  UDP    127.0.0.1:63994        *:*                                    9008
  UDP    127.0.0.1:63996        *:*                                    9008
  UDP    127.0.0.1:63998        *:*                                    9008
  UDP    127.0.0.1:64000        *:*                                    9008
  UDP    127.0.0.1:64002        *:*                                    9008
  UDP    127.0.0.1:64910        127.0.0.1:64910                        15868
  UDP    [::]:123               *:*                                    2604
  UDP    [::]:500               *:*                                    6564
  UDP    [::]:1947              *:*                                    7016
  UDP    [::]:4500              *:*                                    6564
  UDP    [::]:5353              *:*                                    3132
  UDP    [::]:5353              *:*                                    39832
